bracelet,case_diameter,case_material,crystal,dial,gender,in_stock,model_number,movement,online_exclusive,price,strap,url,watch_model,water_resistance
grey ion-plated stainless steel mesh bracelet,34,grey ion-plated 1 stainless steel,K1,grey Museum with flat dot,women's,Out of Stock,3600581,Swiss quartz movement,No,$595.00,,https://www.movado.com/us/en/shop-watches/movado-bold-shimmer-3600581.html,Movado BOLD Shimmer,3 ATM
,42,black ion-plated stainless steel,K1,black Museum with flat dot,men's,Out of Stock,3600587,Swiss quartz movement,No,$495.00,black leather,https://www.movado.com/us/en/shop-watches/movado-bold-thin-3600587.html,Movado BOLD Thin,3 ATM
,41,blue ion-plated stainless steel,K1,blue Museum with concave dot,men's,Out of Stock,3640032,Swiss quartz movement,No,$350.00,brown leather,https://www.movado.com/us/en/shop-watches/movado-face-3640032.html,Movado Face,3 ATM
light gold ion-plated stainless steel bangle bracelet,28,light gold ion-plated stainless steel,K1,yellow mother-of-pearl Museum with crystal-set dot,women's,Out of Stock,3600627,Swiss quartz movement,No,$495.00,,https://www.movado.com/us/en/shop-watches/movado-bold-bangle-3600627.html,Movado BOLD Bangle,3 ATM
stainless steel link bracelet,42,stainless steel,Gorilla Glass,,Unisex,Out of Stock,3660035,Smart module,No,$795.00,,https://www.movado.com/us/en/shop-watches/42mm-movado-connect-2.0-3660035.html,42mm Movado Connect 2.0,IPX8 / 1 ATM
black ion-plated stainless steel link bracelet,42.3,black ion-plated stainless steel,K1,black with printed index,men's,Out of Stock,3600662,Swiss quartz movement,No,$795.00,,https://www.movado.com/us/en/shop-watches/movado-bold-fusion-3600662.html,Movado BOLD Fusion,3 ATM
blue ion-plated stainless steel link bracelet,42.3,blue ion-plated stainless steel,K1,blue with printed index,men's,Out of Stock,3600661,Swiss quartz movement,No,$795.00,,https://www.movado.com/us/en/shop-watches/movado-bold-fusion-3600661.html,Movado BOLD Fusion,3 ATM
,42.3,bronze ion-plated stainless steel,K1,black with applied markers,men's,Out of Stock,3600622,Swiss quartz movement,No,$595.00,black silicone,https://www.movado.com/us/en/shop-watches/movado-bold-fusion-3600622.html,Movado BOLD Fusion,3 ATM
stainless steel link bracelet,40,stainless steel and aluminum,sapphire,black with printed index,men's,Out of Stock,2600135,Swiss quartz movement,No,$995.00,,https://www.movado.com/us/en/shop-watches/series-800-2600135.html,Series 800,200 meters
,42,blue ion-plated stainless steel,K1,blue Museum with flat dot,men's,Out of Stock,3600585,Swiss quartz movement,No,$495.00,brown nappa leather,https://www.movado.com/us/en/shop-watches/movado-bold-thin-3600585.html,Movado BOLD Thin,3 ATM
