bracelet,case_diameter,case_material,crystal,dial,gender,in_stock,model_number,movement,online_exclusive,price,strap,watch_model,water_resistance
stainless steel link bracelet,28,stainless steel with diamonds,sapphire,white mother-of-pearl with printed index,Women's,In Stock,0607325,Swiss quartz movement,No,"$1,495.00",,Kora,30 meters
,44.5,stainless steel with tungsten carbide bezel,sapphire,anthracite grey with printed index,men's,In Stock,0607379,Swiss quartz chronograph movement,No,"$1,995.00",black calfskin,Vizio,30 meters
grey ion-plated stainless steel and rose gold ion-plated stainless steel link bracelet,34,grey ion-plated stainless steel,K1,grey Museum with flat dot,Women's,In Stock,3600652,Swiss quartz movement,No,$650.00,,Movado BOLD Evolution,3 ATM
,40,blue ion-plated stainless steel,K1,blue Museum with flat dot,men's,In Stock,3600691,Swiss quartz movement,No,$495.00,beige waxed canvas,Movado BOLD Evolution,3 ATM
pale rose gold ion-plated stainless steel link bracelet,34,pale rose gold ion-plated stainless steel,K1,carnation gold Museum with crystal set dot,Women's,In Stock,3600650,Swiss quartz movement,No,$695.00,,Movado BOLD Evolution,3 ATM
,42,grey ion-plated stainless steel,K1,grey with printed index,men's,In Stock,3600681,Swiss quartz chronograph movement,No,$695.00,black leather,Movado BOLD Evolution,3 ATM
,39.5,stainless steel rose gold PVD,sapphire,black with printed index,men's,In Stock,0607457,Swiss automatic movement,No,"$1,195.00",black calfskin,1881 Automatic,30 meters
,28,stainless steel rose gold PVD,sapphire,black Museum with concave dot,Women's,In Stock,0607206,Swiss quartz movement,No,$595.00,black leather,Museum Classic,30 meters
stainless steel mesh bracelet,28,stainless steel,sapphire,blue mother-of-pearl Museum with concave dot,Women's,In Stock,0607425,Swiss quartz movement,No,$795.00,,Museum Classic,30 meters
grey ion-plated stainless steel link bracelet,32,grey ion-plated stainless steel,K1,grey with Roman index with swarovski pavé,Women's,In Stock,3600636,Swiss quartz movement,No,$695.00,,Movado BOLD Luxe,3 ATM
,42.3,black ion-plated stainless steel,K1,black with applied markers,men's,In Stock,3600621,Swiss quartz movement,No,$595.00,black silicone,Movado BOLD Fusion,3 ATM
carnation gold ion-plated stainless steel link bracelet,38,carnation gold ion-plated stainless steel,K1,optic white with printed index,women's,In Stock,3640048,Swiss quartz chronograph movement,No,$650.00,,Movado Face,3 ATM
,40,stainless steel,sapphire,blue Museum with flat dot,unisex,In Stock,0607507,Swiss quartz movement,No,$595.00,blue calfskin,Modern 47,30 meters
blush ceramic and ion-plated carnation gold stainless steel link bracelet,36,carnation gold ion-plated stainless steel,K1,carnation gold Museum with crystal-set dot,women's,In Stock,3600639,Swiss quartz movement,No,$695.00,,Movado BOLD Ceramic,3 ATM
stainless steel link bracelet,34,stainless steel,K1,silver-toned metallic Museum with flat dot,Women's,In Stock,3600647,Swiss quartz movement,No,$550.00,,Movado BOLD Evolution,3 ATM
,42.5,yellow gold ion-plated stainless steel,sapphire,gold-toned metallic with printed index,men's,In Stock,3600674,Swiss quartz movement,No,$595.00,green leather,Movado BOLD Metals,3 ATM
