code,price,product,q_count,rev_count,seller,star,url
"







3660028



",$651.65,"Movado Connect 2.0 Unisex Powered with Wear OS by Google Stainless Steel and Black Leather Smartwatch, Color: Black (Model: 3660028)",,7 ratings,Global Precious Brands LLC,3.9 out of 5 stars,https://www.amazon.com/Movado-Connect-Powered-Stainless-Smartwatch/dp/B07Z8HZPF5/ref=sr_1_27?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-27
"







3600610



",$595.00,Movado Blue Stainless Steel Case (Model: 3600610),,,Amazon,2.6 out of 5 stars,https://www.amazon.com/Floyd-Embroidered-Symbol-Emblem-Embroidery/dp/B00F8FN6XU/ref=sr_1_26?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-26
"







607220



",$415.01,"Movado Women's Museum Stainless Steel Watch with a Concave Dot Museum Dial, Black/Silver (607220)",,15 ratings,Global Precious Brands LLC,4.3 out of 5 stars,https://www.amazon.com/Movado-Museum-Classic-Ladies-0607220/dp/B07DPGGYMV/ref=sr_1_24?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-24
"







607220



",$417.00,"Movado Women's Museum Stainless Steel Watch with a Concave Dot Museum Dial, Black/Silver (607220)",,15 ratings,WatchMaxx,4.3 out of 5 stars,https://www.amazon.com/Movado-Museum-Classic-Ladies-0607220/dp/B07DPGGYMV/ref=sr_1_24?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-24
"







607220



",$417.00,"Movado Women's Museum Stainless Steel Watch with a Concave Dot Museum Dial, Black/Silver (607220)",,15 ratings,WatchMaxx,4.3 out of 5 stars,https://www.amazon.com/Movado-Museum-Classic-Ladies-0607220/dp/B07DPGGYMV/ref=sr_1_24?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-24
"







607220



",$625.50,"Movado Women's Museum Stainless Steel Watch with a Concave Dot Museum Dial, Black/Silver (607220)",,15 ratings,Daily Fashion Craze,4.3 out of 5 stars,https://www.amazon.com/Movado-Museum-Classic-Ladies-0607220/dp/B07DPGGYMV/ref=sr_1_24?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-24
"







607220



",$795.00,"Movado Women's Museum Stainless Steel Watch with a Concave Dot Museum Dial, Black/Silver (607220)",,15 ratings,Zappos,4.3 out of 5 stars,https://www.amazon.com/Movado-Museum-Classic-Ladies-0607220/dp/B07DPGGYMV/ref=sr_1_24?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-24
"







3600561



",$495.00,"Movado Bold, Ionic Plated Grey Steel Case, Grey Dial, Grey Steel Mesh Bracelet, Men, 3600561",,1 rating,Todays Deals,4.4 out of 5 stars,https://www.amazon.com/Movado-Ionic-Plated-Bracelet-3600561/dp/B07QYQJYHL/ref=sr_1_22?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-22
"







3600441



",$207.90,Movado Women s Swiss Quartz ROSEGOLD Plated Casual Watch Model 3600441,,11 ratings,Watchsavings,4.3 out of 5 stars,https://www.amazon.com/Movado-Quartz-ROSEGOLD-Plated-3600441/dp/B01N11ROR2/ref=sr_1_20?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-20
"







3600441



",$232.14,Movado Women s Swiss Quartz ROSEGOLD Plated Casual Watch Model 3600441,,11 ratings,WatchMaxx,4.3 out of 5 stars,https://www.amazon.com/Movado-Quartz-ROSEGOLD-Plated-3600441/dp/B01N11ROR2/ref=sr_1_20?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-20
