code,price,product,q_count,rev_count,seller,star,url
"







0606761



",$470.75,Movado Men's 0606761 SE. Pilot Stainless Steel Watch with Bracelet Band,,4 ratings,WatchMaxx,4.2 out of 5 stars,https://www.amazon.com/Movado-0606761-Pilot-Stainless-Bracelet/dp/B00D89VKHM/ref=sr_1_288?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-288
"







0606761



",$470.75,Movado Men's 0606761 SE. Pilot Stainless Steel Watch with Bracelet Band,,4 ratings,WatchMaxx,4.2 out of 5 stars,https://www.amazon.com/Movado-0606761-Pilot-Stainless-Bracelet/dp/B00D89VKHM/ref=sr_1_288?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-288
"







3600650



",$695.00,"Movado Women's Bold Evolution Quartz Watch with Stainless Steel Strap, Rose Gold, 15 (Model: 3600650)",,,Amazon,5.0 out of 5 stars,https://www.amazon.com/Movado-Womens-Evolution-Quartz-Stainless/dp/B0868W4HW2/ref=sr_1_240?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-240
"







3600502



",$397.51,"Movado Women's BOLD Sugar Dial Yellow Gold Watch with a Flat Dot, Gold (Model 3600502)",,8 ratings,Luxuryfreeshop,4.2 out of 5 stars,https://www.amazon.com/Movado-Womens-Bold-3600502-Yellow/dp/B078XJ93KF/ref=sr_1_144?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-144
"







3600502



",$399.00,"Movado Women's BOLD Sugar Dial Yellow Gold Watch with a Flat Dot, Gold (Model 3600502)",,8 ratings,Todays Deals,4.2 out of 5 stars,https://www.amazon.com/Movado-Womens-Bold-3600502-Yellow/dp/B078XJ93KF/ref=sr_1_144?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-144
"







3600502



",$445.00,"Movado Women's BOLD Sugar Dial Yellow Gold Watch with a Flat Dot, Gold (Model 3600502)",,8 ratings,Angel Seller,4.2 out of 5 stars,https://www.amazon.com/Movado-Womens-Bold-3600502-Yellow/dp/B078XJ93KF/ref=sr_1_144?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-144
"







3600502



",$650.00,"Movado Women's BOLD Sugar Dial Yellow Gold Watch with a Flat Dot, Gold (Model 3600502)",,8 ratings,Zappos,4.2 out of 5 stars,https://www.amazon.com/Movado-Womens-Bold-3600502-Yellow/dp/B078XJ93KF/ref=sr_1_144?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-144
"







3660026



",$487.00,"Movado Connect 2.0 Unisex Powered with Wear OS by Google Stainless Steel and Ionic Light Gold 2 Plated Steel Smartwatch, Color: Yellow (Model: 3660026)",,7 ratings,Amazon,4.1 out of 5 stars,https://www.amazon.com/Movado-Connect-Powered-Stainless-Smartwatch/dp/B07Z8HL64W/ref=sr_1_1_sspa?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzMURERldWNjZCVkJFJmVuY3J5cHRlZElkPUEwMzg5NTc1MVVDSTA3OUNSMVo5VCZlbmNyeXB0ZWRBZElkPUEwMDgxNTc0S1lLQkFFQUpMMVNWJndpZGdldE5hbWU9c3BfYXRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==
"







3660022



",$550.00,"Movado Connect 2.0 Unisex Powered with Wear OS by Google Stainless Steel and Black Leather Smartwatch, Color: Black (Model: 3660022)",,11 ratings,Amazon,4.0 out of 5 stars,https://www.amazon.com/Movado-Connect-Powered-Stainless-Smartwatch/dp/B07Z8HYKJV/ref=sr_1_32_sspa?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-32-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzMURERldWNjZCVkJFJmVuY3J5cHRlZElkPUEwMzg5NTc1MVVDSTA3OUNSMVo5VCZlbmNyeXB0ZWRBZElkPUEwNjMzOTE1MUlUQzlYVzZWNENGJndpZGdldE5hbWU9c3BfbXRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==
"







3660032



",$487.00,"Movado Connect 2.0 Unisex Powered with Wear OS by Google Stainless Steel and Stainless Steel Smartwatch, Color: Silver (Model: 3660032)",,7 ratings,Amazon,3.4 out of 5 stars,https://www.amazon.com/Movado-Connect-Powered-Stainless-Smartwatch/dp/B07Z8JBT9B/ref=sr_1_31_sspa?dchild=1&keywords=movado&qid=1591649521&refinements=p_89%3AMovado&rnid=2528832011&sr=8-31-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzMURERldWNjZCVkJFJmVuY3J5cHRlZElkPUEwMzg5NTc1MVVDSTA3OUNSMVo5VCZlbmNyeXB0ZWRBZElkPUEwNDc0NDIxN0dYQVFISThNUjBSJndpZGdldE5hbWU9c3BfbXRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==
